min_cluster_size,min_samples,cluster_selection_epsilon,cluster_selection_method,n_clusters,n_outliers,perc_outliers,silhouette_score,calinski_harabasz_score,davies_bouldin_score,clusters_and_outliers_score,combined_score,density_score,silhouette_score_rank,calinski_harabasz_score_rank,combined_score_rank,clusters_and_outliers_score_rank,density_score_rank
3,1,0.0,eom,3,15,2.6223776223776225,0.4686716406966389,26.99642779018745,0.5762203073696531,2.9737762237762237,0.3324336132373629,0.7975830975184014,8.0,20.0,11.0,26.0,2.0
3,1,0.0,leaf,45,365,63.81118881118881,0.17781170301083934,26.42088458449396,1.2830694917594674,44.36188811188811,0.3852381890180594,0.668668608946696,44.0,26.0,2.0,2.0,8.0
3,1,0.1,eom,3,15,2.6223776223776225,0.4686716406966389,26.99642779018745,0.5762203073696531,2.9737762237762237,0.3324336132373629,0.7975830975184014,8.0,20.0,11.0,26.0,2.0
3,1,0.1,leaf,45,365,63.81118881118881,0.17781170301083934,26.42088458449396,1.2830694917594674,44.36188811188811,0.3852381890180594,0.668668608946696,44.0,26.0,2.0,2.0,8.0
3,1,0.5,eom,3,15,2.6223776223776225,0.4686716406966389,26.99642779018745,0.5762203073696531,2.9737762237762237,0.3324336132373629,0.7975830975184014,8.0,20.0,11.0,26.0,2.0
3,1,0.5,leaf,45,365,63.81118881118881,0.17781170301083934,26.42088458449396,1.2830694917594674,44.36188811188811,0.3852381890180594,0.668668608946696,44.0,26.0,2.0,2.0,8.0
3,2,0.0,eom,3,18,3.146853146853147,0.47299464217440035,27.58578139016998,0.5751335376656526,2.9685314685314683,0.3315086368856006,0.6771320546197724,5.0,17.0,14.0,29.0,5.0
3,2,0.0,leaf,20,467,81.64335664335664,0.23471717042844106,39.605988132848836,1.2184650587450032,19.183566433566433,0.3402775056341963,0.22651283826339766,26.0,5.0,5.0,5.0,14.0
3,2,0.1,eom,3,18,3.146853146853147,0.47299464217440035,27.58578139016998,0.5751335376656526,2.9685314685314683,0.3315086368856006,0.6771320546197724,5.0,17.0,14.0,29.0,5.0
3,2,0.1,leaf,20,467,81.64335664335664,0.23471717042844106,39.605988132848836,1.2184650587450032,19.183566433566433,0.3402775056341963,0.22651283826339766,26.0,5.0,5.0,5.0,14.0
3,2,0.5,eom,3,18,3.146853146853147,0.47299464217440035,27.58578139016998,0.5751335376656526,2.9685314685314683,0.3315086368856006,0.6771320546197724,5.0,17.0,14.0,29.0,5.0
3,2,0.5,leaf,20,467,81.64335664335664,0.23471717042844106,39.605988132848836,1.2184650587450032,19.183566433566433,0.3402775056341963,0.22651283826339766,26.0,5.0,5.0,5.0,14.0
3,3,0.0,eom,3,25,4.370629370629371,0.48094044543348347,24.081280740236938,0.5707011692152807,2.9562937062937062,0.32902917870313436,0.49940133436889794,2.0,38.0,17.0,32.0,11.0
3,3,0.0,leaf,14,506,88.46153846153845,0.2540821817317951,39.94891937061042,1.114388962506051,13.115384615384615,0.32272771187515387,0.13990888629548429,20.0,2.0,20.0,11.0,20.0
3,3,0.1,eom,3,25,4.370629370629371,0.48094044543348347,24.081280740236938,0.5707011692152807,2.9562937062937062,0.32902917870313436,0.49940133436889794,2.0,38.0,17.0,32.0,11.0
3,3,0.1,leaf,14,506,88.46153846153845,0.2540821817317951,39.94891937061042,1.114388962506051,13.115384615384615,0.32272771187515387,0.13990888629548429,20.0,2.0,20.0,11.0,20.0
3,3,0.5,eom,3,25,4.370629370629371,0.48094044543348347,24.081280740236938,0.5707011692152807,2.9562937062937062,0.32902917870313436,0.49940133436889794,2.0,38.0,17.0,32.0,11.0
3,3,0.5,leaf,14,506,88.46153846153845,0.2540821817317951,39.94891937061042,1.114388962506051,13.115384615384615,0.32272771187515387,0.13990888629548429,20.0,2.0,20.0,11.0,20.0
5,1,0.0,eom,3,251,43.88111888111888,0.20630946653308022,16.241270525356086,1.0852459617650145,2.5611888111888113,0.16930306333660539,0.05916095301833135,32.0,44.0,29.0,35.0,29.0
5,1,0.0,leaf,14,446,77.97202797202797,0.149389769537807,26.681033649730644,1.6971697779250527,13.22027972027972,0.33849238151458716,0.15690339002341003,50.0,23.0,8.0,8.0,17.0
5,1,0.1,eom,3,251,43.88111888111888,0.20630946653308022,16.241270525356086,1.0852459617650145,2.5611888111888113,0.16930306333660539,0.05916095301833135,32.0,44.0,29.0,35.0,29.0
5,1,0.1,leaf,14,446,77.97202797202797,0.149389769537807,26.681033649730644,1.6971697779250527,13.22027972027972,0.33849238151458716,0.15690339002341003,50.0,23.0,8.0,8.0,17.0
5,1,0.5,eom,3,251,43.88111888111888,0.20630946653308022,16.241270525356086,1.0852459617650145,2.5611888111888113,0.16930306333660539,0.05916095301833135,32.0,44.0,29.0,35.0,29.0
5,1,0.5,leaf,14,446,77.97202797202797,0.149389769537807,26.681033649730644,1.6971697779250527,13.22027972027972,0.33849238151458716,0.15690339002341003,50.0,23.0,8.0,8.0,17.0
5,2,0.0,eom,2,288,50.349650349650354,0.29727452721756287,24.214045067987623,1.169502373727663,1.4965034965034965,0.12354222803368337,0.033630304092767495,12.5,33.5,36.5,45.5,41.0
5,2,0.0,leaf,9,488,85.3146853146853,0.1985328217959927,25.77762944524356,1.4008636416411526,8.146853146853147,0.28383586732534305,0.09003183612487749,38.0,29.0,23.0,14.0,23.0
5,2,0.1,eom,2,288,50.349650349650354,0.29727452721756287,24.214045067987623,1.169502373727663,1.4965034965034965,0.12354222803368337,0.033630304092767495,12.5,33.5,36.5,45.5,41.0
5,2,0.1,leaf,9,488,85.3146853146853,0.1985328217959927,25.77762944524356,1.4008636416411526,8.146853146853147,0.28383586732534305,0.09003183612487749,38.0,29.0,23.0,14.0,23.0
5,2,0.5,eom,2,288,50.349650349650354,0.29727452721756287,24.214045067987623,1.169502373727663,1.4965034965034965,0.12354222803368337,0.033630304092767495,12.5,33.5,36.5,45.5,41.0
5,2,0.5,leaf,9,488,85.3146853146853,0.1985328217959927,25.77762944524356,1.4008636416411526,8.146853146853147,0.28383586732534305,0.09003183612487749,38.0,29.0,23.0,14.0,23.0
5,3,0.0,eom,2,399,69.75524475524476,0.19910325006365218,8.777150148652787,1.1804048054518717,1.3024475524475525,0.05059975324381358,0.022819890060085963,35.0,50.0,47.0,50.0,50.0
5,3,0.0,leaf,4,540,94.4055944055944,0.23710310369332924,12.789216239773484,1.3929679226302036,3.055944055944056,0.062348682337216244,0.03384763580267534,23.0,47.0,44.0,23.0,38.0
5,3,0.1,eom,2,399,69.75524475524476,0.19910325006365218,8.777150148652787,1.1804048054518717,1.3024475524475525,0.05059975324381358,0.022819890060085963,35.0,50.0,47.0,50.0,50.0
5,3,0.1,leaf,4,540,94.4055944055944,0.23710310369332924,12.789216239773484,1.3929679226302036,3.055944055944056,0.062348682337216244,0.03384763580267534,23.0,47.0,44.0,23.0,38.0
5,3,0.5,eom,2,399,69.75524475524476,0.19910325006365218,8.777150148652787,1.1804048054518717,1.3024475524475525,0.05059975324381358,0.022819890060085963,35.0,50.0,47.0,50.0,50.0
5,3,0.5,leaf,4,540,94.4055944055944,0.23710310369332924,12.789216239773484,1.3929679226302036,3.055944055944056,0.062348682337216244,0.03384763580267534,23.0,47.0,44.0,23.0,38.0
5,5,0.0,eom,0,572,100.0,,,,,,,,,,,
5,5,0.0,leaf,0,572,100.0,,,,,,,,,,,
5,5,0.1,eom,0,572,100.0,,,,,,,,,,,
5,5,0.1,leaf,0,572,100.0,,,,,,,,,,,
5,5,0.5,eom,0,572,100.0,,,,,,,,,,,
5,5,0.5,leaf,0,572,100.0,,,,,,,,,,,
10,1,0.0,eom,2,251,43.88111888111888,0.2716240865916769,27.96841847655893,1.197633395326127,1.5611888111888113,0.13910025634539497,0.03928425825083385,17.0,14.0,32.0,41.0,32.0
10,1,0.0,leaf,7,461,80.5944055944056,0.18310236101142816,32.65906394302321,1.7010660424345296,6.194055944055944,0.2156821373684974,0.07562926749129933,41.0,11.0,26.0,17.0,26.0
10,1,0.1,eom,2,251,43.88111888111888,0.2716240865916769,27.96841847655893,1.197633395326127,1.5611888111888113,0.13910025634539497,0.03928425825083385,17.0,14.0,32.0,41.0,32.0
10,1,0.1,leaf,7,461,80.5944055944056,0.18310236101142816,32.65906394302321,1.7010660424345296,6.194055944055944,0.2156821373684974,0.07562926749129933,41.0,11.0,26.0,17.0,26.0
10,1,0.5,eom,2,251,43.88111888111888,0.2716240865916769,27.96841847655893,1.197633395326127,1.5611888111888113,0.13910025634539497,0.03928425825083385,17.0,14.0,32.0,41.0,32.0
10,1,0.5,leaf,7,461,80.5944055944056,0.18310236101142816,32.65906394302321,1.7010660424345296,6.194055944055944,0.2156821373684974,0.07562926749129933,41.0,11.0,26.0,17.0,26.0
10,2,0.0,eom,2,288,50.349650349650354,0.29727452721756287,24.214045067987623,1.169502373727663,1.4965034965034965,0.12354222803368337,0.03263751202853086,12.5,33.5,36.5,45.5,44.0
10,2,0.0,leaf,4,515,90.03496503496503,0.2266820159416618,33.435743523796475,1.639292336011748,3.0996503496503496,0.07389740728635419,0.0368193656207562,29.0,8.0,41.0,20.0,35.0
10,2,0.1,eom,2,288,50.349650349650354,0.29727452721756287,24.214045067987623,1.169502373727663,1.4965034965034965,0.12354222803368337,0.03263751202853086,12.5,33.5,36.5,45.5,44.0
10,2,0.1,leaf,4,515,90.03496503496503,0.2266820159416618,33.435743523796475,1.639292336011748,3.0996503496503496,0.07389740728635419,0.0368193656207562,29.0,8.0,41.0,20.0,35.0
10,2,0.5,eom,2,288,50.349650349650354,0.29727452721756287,24.214045067987623,1.169502373727663,1.4965034965034965,0.12354222803368337,0.03263751202853086,12.5,33.5,36.5,45.5,44.0
10,2,0.5,leaf,4,515,90.03496503496503,0.2266820159416618,33.435743523796475,1.639292336011748,3.0996503496503496,0.07389740728635419,0.0368193656207562,29.0,8.0,41.0,20.0,35.0
10,3,0.0,eom,0,572,100.0,,,,,,,,,,,
10,3,0.0,leaf,0,572,100.0,,,,,,,,,,,
10,3,0.1,eom,0,572,100.0,,,,,,,,,,,
10,3,0.1,leaf,0,572,100.0,,,,,,,,,,,
10,3,0.5,eom,0,572,100.0,,,,,,,,,,,
10,3,0.5,leaf,0,572,100.0,,,,,,,,,,,
10,5,0.0,eom,0,572,100.0,,,,,,,,,,,
10,5,0.0,leaf,0,572,100.0,,,,,,,,,,,
10,5,0.1,eom,0,572,100.0,,,,,,,,,,,
10,5,0.1,leaf,0,572,100.0,,,,,,,,,,,
10,5,0.5,eom,0,572,100.0,,,,,,,,,,,
10,5,0.5,leaf,0,572,100.0,,,,,,,,,,,
10,10,0.0,eom,0,572,100.0,,,,,,,,,,,
10,10,0.0,leaf,0,572,100.0,,,,,,,,,,,
10,10,0.1,eom,0,572,100.0,,,,,,,,,,,
10,10,0.1,leaf,0,572,100.0,,,,,,,,,,,
10,10,0.5,eom,0,572,100.0,,,,,,,,,,,
10,10,0.5,leaf,0,572,100.0,,,,,,,,,,,
15,1,0.0,eom,2,480,83.91608391608392,0.04408871743498801,6.84607769788726,2.448261629894677,1.1608391608391608,-0.015134944133003508,0.01853928645889221,53.0,53.0,53.0,53.0,53.0
15,1,0.0,leaf,3,507,88.63636363636364,0.15578098013756228,19.721800699779944,2.1725094999400887,2.1136363636363638,0.02745805611154345,0.026344502512520844,47.0,41.0,50.0,38.0,47.0
15,1,0.1,eom,2,480,83.91608391608392,0.04408871743498801,6.84607769788726,2.448261629894677,1.1608391608391608,-0.015134944133003508,0.01853928645889221,53.0,53.0,53.0,53.0,53.0
15,1,0.1,leaf,3,507,88.63636363636364,0.15578098013756228,19.721800699779944,2.1725094999400887,2.1136363636363638,0.02745805611154345,0.026344502512520844,47.0,41.0,50.0,38.0,47.0
15,1,0.5,eom,2,480,83.91608391608392,0.04408871743498801,6.84607769788726,2.448261629894677,1.1608391608391608,-0.015134944133003508,0.01853928645889221,53.0,53.0,53.0,53.0,53.0
15,1,0.5,leaf,3,507,88.63636363636364,0.15578098013756228,19.721800699779944,2.1725094999400887,2.1136363636363638,0.02745805611154345,0.026344502512520844,47.0,41.0,50.0,38.0,47.0
15,2,0.0,eom,0,572,100.0,,,,,,,,,,,
15,2,0.0,leaf,0,572,100.0,,,,,,,,,,,
15,2,0.1,eom,0,572,100.0,,,,,,,,,,,
15,2,0.1,leaf,0,572,100.0,,,,,,,,,,,
15,2,0.5,eom,0,572,100.0,,,,,,,,,,,
15,2,0.5,leaf,0,572,100.0,,,,,,,,,,,
15,3,0.0,eom,0,572,100.0,,,,,,,,,,,
15,3,0.0,leaf,0,572,100.0,,,,,,,,,,,
15,3,0.1,eom,0,572,100.0,,,,,,,,,,,
15,3,0.1,leaf,0,572,100.0,,,,,,,,,,,
15,3,0.5,eom,0,572,100.0,,,,,,,,,,,
15,3,0.5,leaf,0,572,100.0,,,,,,,,,,,
15,5,0.0,eom,0,572,100.0,,,,,,,,,,,
15,5,0.0,leaf,0,572,100.0,,,,,,,,,,,
15,5,0.1,eom,0,572,100.0,,,,,,,,,,,
15,5,0.1,leaf,0,572,100.0,,,,,,,,,,,
15,5,0.5,eom,0,572,100.0,,,,,,,,,,,
15,5,0.5,leaf,0,572,100.0,,,,,,,,,,,
15,10,0.0,eom,0,572,100.0,,,,,,,,,,,
15,10,0.0,leaf,0,572,100.0,,,,,,,,,,,
15,10,0.1,eom,0,572,100.0,,,,,,,,,,,
15,10,0.1,leaf,0,572,100.0,,,,,,,,,,,
15,10,0.5,eom,0,572,100.0,,,,,,,,,,,
15,10,0.5,leaf,0,572,100.0,,,,,,,,,,,
20,1,0.0,eom,0,572,100.0,,,,,,,,,,,
20,1,0.0,leaf,0,572,100.0,,,,,,,,,,,
20,1,0.1,eom,0,572,100.0,,,,,,,,,,,
20,1,0.1,leaf,0,572,100.0,,,,,,,,,,,
20,1,0.5,eom,0,572,100.0,,,,,,,,,,,
20,1,0.5,leaf,0,572,100.0,,,,,,,,,,,
20,2,0.0,eom,0,572,100.0,,,,,,,,,,,
20,2,0.0,leaf,0,572,100.0,,,,,,,,,,,
20,2,0.1,eom,0,572,100.0,,,,,,,,,,,
20,2,0.1,leaf,0,572,100.0,,,,,,,,,,,
20,2,0.5,eom,0,572,100.0,,,,,,,,,,,
20,2,0.5,leaf,0,572,100.0,,,,,,,,,,,
20,3,0.0,eom,0,572,100.0,,,,,,,,,,,
20,3,0.0,leaf,0,572,100.0,,,,,,,,,,,
20,3,0.1,eom,0,572,100.0,,,,,,,,,,,
20,3,0.1,leaf,0,572,100.0,,,,,,,,,,,
20,3,0.5,eom,0,572,100.0,,,,,,,,,,,
20,3,0.5,leaf,0,572,100.0,,,,,,,,,,,
20,5,0.0,eom,0,572,100.0,,,,,,,,,,,
20,5,0.0,leaf,0,572,100.0,,,,,,,,,,,
20,5,0.1,eom,0,572,100.0,,,,,,,,,,,
20,5,0.1,leaf,0,572,100.0,,,,,,,,,,,
20,5,0.5,eom,0,572,100.0,,,,,,,,,,,
20,5,0.5,leaf,0,572,100.0,,,,,,,,,,,
20,10,0.0,eom,0,572,100.0,,,,,,,,,,,
20,10,0.0,leaf,0,572,100.0,,,,,,,,,,,
20,10,0.1,eom,0,572,100.0,,,,,,,,,,,
20,10,0.1,leaf,0,572,100.0,,,,,,,,,,,
20,10,0.5,eom,0,572,100.0,,,,,,,,,,,
20,10,0.5,leaf,0,572,100.0,,,,,,,,,,,
